
7401/1,Biology Paper 1,AS,1h 30m,AM,5/15/2023
7366/1,Further Mathematics Paper 1,AS,1h 30m,5/15/2023
7135/1,Economics Paper 1,AS,1h 30m,AM,5/15/2023
7181/1,Psychology Paper 1,AS,1h 30m,5/15/2023
7701/1,English Language Paper 1,AS,1h 30m,AM,5/15/2023
8361/2,Functional Skills Mathematics Level 1,FS,1h 30m,5/15/2023
7691/1,Spanish Paper 1,AS,1h 45m,AM,5/15/2023
8362/2,Functional Skills Mathematics Level 2,FS,1h 30m,5/15/2023
8361/1,Functional Skills Mathematics Level 1,FS,30m,AM,5/15/2023
8362/1,Functional Skills Mathematics Level 2,FS	30m,AM,5/15/2023

7404/1,Chemistry Paper 1,AS	1h 30m,AM,5/16/2023
7516/1A-1E,Computer Science (options A to E) Paper 1,AS	1h 45m,5/16/2023
7661/1,German Paper 1,AS,1h 45m,AM,5/16/2023
7191/1,Sociology Paper 1,AS,1h 30m,AM,5/16/2023
7036/1,Geography Paper 1,AS,1h 30m,5/16/2023

7037/1,Geography Paper 1,A-level,2h 30m,AM,5/17/2023
7041/1A-1L,History Paper 1 (options A to L),AS,1h 30m,5/17/2023
7407/1,Physics Paper 1,AS,1h 30m,AM,5/17/2023
1350/1,Level 3 Mathematical Studies Paper 1,L3,1h 30m,AM,5/17/2023

7136/1,Economics Paper 1,A-level,2h,AM,5/18/2023
7356/1,Mathematics Paper 1,AS,1h 30m,5/18/2023
7711/1,English Literature A Paper 1,AS,1h 30m,AM,5/18/2023
7172/1,Philosophy Paper 1,A-level,3h,5/18/2023
7716/1A+1B,English Literature B Paper 1 (options A and B),AS,1h 30m,AM,5/18/2023
8720W,Functional Skills English - Level 1,FS,1h,5/18/2023
8725W,Functional Skills English - Level 2,FS,1h,5/18/2023
8720R,Functional Skills English - Level 1,FS,1h,AM,5/18/2023
8725R,Functional Skills English - Level 2,FS,1h,AM,5/18/2023

7131/1,Business Paper 1,AS,1h 30m,AM,5/19/2023
7366/2D+2M+2S,Further Mathematics Paper 2 (options D,M and S),AS,1h 30m,5/19/2023
7651/1,French Paper 1,AS,1h 45m,AM,5/19/2023
7182/1,Psychology Paper 1,A-level,2h,AM,5/19/2023
7061/1,Religious Studies Paper 1,AS	2h,AM,5/19/2023

7637/1,Bengali Paper 1,A-level,2h 30m,AM,5/22/2023
7677/1,Biblical Hebrew Paper 1,A-level	3h,5/22/2023
7135/2,Economics Paper 2,AS,1h 30m,AM,5/22/2023
