5/15/2023,Jun-23,OCR ,GCE ,H167/01 ,(Psychology) ,Research Methods - Written Paper ,PM ,1h 30m 
5/22/2023,Jun-23,OCR ,GCE ,H167/02 ,(Psychology) ,Psychological themes through core studies - Written Paper ,PM ,1h 30m 
5/19/2023,Jun-23,OCR ,GCE ,H173/01 ,(Religious Studies) ,Philosophy of religion - Written Paper ,AM ,1h 15m 
5/25/2023,Jun-23,OCR ,GCE ,H173/02 ,(Religious Studies) ,Religion and ethics - Written Paper ,AM ,1h 15m 
6/5/2023,Jun-23,OCR ,GCE ,H173/03 ,(Religious Studies) ,Developments in Christian thought - Written Paper ,PM ,1h 15m 
6/5/2023,Jun-23,OCR ,GCE ,H173/04 ,(Religious Studies) ,Developments in Islamic thought - Written Paper ,PM ,1h 15m 
6/5/2023,Jun-23,OCR ,GCE ,H173/05 ,(Religious Studies) ,Developments in Jewish thought - Written Paper ,PM ,1h 15m 
6/5/2023,Jun-23,OCR ,GCE ,H173/06 ,(Religious Studies) ,Developments in Buddhist thought - Written Paper ,PM ,1h 15m 
6/5/2023,Jun-23,OCR ,GCE ,H173/07 ,(Religious Studies) ,Developments in Hindu thought - Written Paper ,PM ,1h 15m 
5/16/2023,Jun-23,OCR ,GCE ,H180/01 ,(Sociology) ,"Socialisation, culture and identity - Written Paper ",AM ,1h 30m 
5/23/2023,Jun-23,OCR ,GCE ,H180/02 ,(Sociology) ,Researching and understanding social inequalities - Written Paper ,AM ,1h 30m 
5/18/2023,Jun-23,OCR ,GCE ,H230/01 ,(Mathematics A) ,Pure Mathematics and Statistics - Written Paper ,PM ,1h 30m 
5/25/2023,Jun-23,OCR ,GCE ,H230/02 ,(Mathematics A) ,Pure Mathematics and Mechanics - Written Paper ,PM ,1h 30m 
6/6/2023,Jun-23,OCR ,GCE ,H240/01 ,(Mathematics A) ,Pure Mathematics - Written Paper ,PM ,2h 00m 
6/13/2023,Jun-23,OCR ,GCE ,H240/02 ,(Mathematics A) ,Pure Mathematics and Statistics - Written Paper ,PM ,2h 00m 
6/20/2023,Jun-23,OCR ,GCE ,H240/03 ,(Mathematics A) ,Pure Mathematics and Mechanics - Written Paper ,PM ,2h 00m 
6/7/2023,Jun-23,OCR ,GCE ,H404/01 ,(Design and Technology: Design Engineering) ,Principles of Design Engineering - Written Paper ,PM ,1h 30m 
6/16/2023,Jun-23,OCR ,GCE ,H404/02 ,(Design and Technology: Design Engineering) ,Problem Solving in Design Engineering - Written Paper ,AM ,1h 45m 
6/7/2023,Jun-23,OCR ,GCE ,H405/01 ,(Design and Technology: Fashion and Textiles) ,Principles of Fashion and Textiles - Written Paper ,PM ,1h 30m 
6/16/2023,Jun-23,OCR ,GCE ,H405/02 ,(Design and Technology: Fashion and Textiles) ,Problem Solving in Fashion and Textiles - Written Paper ,AM ,1h 45m 
6/7/2023,Jun-23,OCR ,GCE ,H406/01 ,(Design and Technology: Product Design) ,Principles of Product Design - Written Paper ,PM ,1h 30m 
6/16/2023,Jun-23,OCR ,GCE ,H406/02 ,(Design and Technology: Product Design) ,Problem Solving in Product Design - Written Paper ,AM ,1h 45m 
5/23/2023,Jun-23,OCR ,GCE ,H407/11 ,(Ancient History) ,Sparta and the Greek world - Written Paper ,AM ,2h 30m 
5/23/2023,Jun-23,OCR ,GCE ,H407/12 ,(Ancient History) ,Athens and the Greek world - Written Paper ,AM ,2h 30m 
5/23/2023,Jun-23,OCR ,GCE ,H407/13 ,(Ancient History) ,Macedon and the Greek world - Written Paper ,AM ,2h 30m 
6/5/2023,Jun-23,OCR ,GCE ,H407/21 ,(Ancient History) ,Republic and Empire - Written Paper ,AM ,2h 30m 
6/5/2023,Jun-23,OCR ,GCE ,H407/22 ,(Ancient History) ,The Eleven Caesars - Written Paper ,AM ,2h 30m 
6/5/2023,Jun-23,OCR ,GCE ,H407/23 ,(Ancient History) ,Emperors and Empire - Written Paper ,AM ,2h 30m 
5/16/2023,Jun-23,OCR ,GCE ,H408/11 ,(Classical Civilisation) ,The World of the Hero - Written Paper ,PM ,2h 20m 
5/23/2023,Jun-23,OCR ,GCE ,H408/21 ,(Classical Civilisation) ,Greek Theatre - Written Paper ,PM ,1h 45m 
5/23/2023,Jun-23,OCR ,GCE ,H408/22 ,(Classical Civilisation) ,Imperial Image - Written Paper ,PM ,1h 45m 
5/23/2023,Jun-23,OCR ,GCE ,H408/23 ,(Classical Civilisation) ,Invention of the Barbarian - Written Paper ,PM ,1h 45m 
5/23/2023,Jun-23,OCR ,GCE ,H408/24 ,(Classical Civilisation) ,Greek Art - Written Paper ,PM ,1h 45m 
6/6/2023,Jun-23,OCR ,GCE ,H408/31 ,(Classical Civilisation) ,Greek Religion - Written Paper ,PM ,1h 45m 
6/6/2023,Jun-23,OCR ,GCE ,H408/32 ,(Classical Civilisation) ,Love and Relationships - Written Paper ,PM ,1h 45m 
6/6/2023,Jun-23,OCR ,GCE ,H408/33 ,(Classical Civilisation) ,Politics of the Late Republic - Written Paper ,PM ,1h 45m 
6/6/2023,Jun-23,OCR ,GCE ,H408/34 ,(Classical Civilisation) ,Democracy and the Athenians - Written Paper ,PM ,1h 45m 
5/22/2023,Jun-23,OCR ,GCE ,H409/01 ,(Media Studies) ,Media messages - Written Paper ,PM ,2h 00m 
6/6/2023,Jun-23,OCR ,GCE ,H409/02 ,(Media Studies) ,Evolving media - Written Paper ,PM ,2h 00m 
5/24/2023,Jun-23,OCR ,GCE ,H410/01 ,(Film Studies) ,Film History - Written Paper ,PM ,2h 00m 
6/5/2023,Jun-23,OCR ,GCE ,H410/02 ,(Film Studies) ,Critical Approaches to Film - Written Paper ,AM ,2h 00m 
6/5/2023,Jun-23,OCR ,GCE ,H414/01 ,(Geology) ,Fundamentals of geology - Written Paper ,AM ,2h 15m 
6/13/2023,Jun-23,OCR ,GCE ,H414/02 ,(Geology) ,Scientific literacy in geology - Written Paper ,PM ,2h 15m 
6/20/2023,Jun-23,OCR ,GCE ,H414/03 ,(Geology) ,Practical skills in geology - Written Paper ,PM ,1h 30m 
5/26/2023,Jun-23,OCR ,GCE ,H418/01 ,(Law) ,The legal system and criminal law - Written Paper ,AM ,2h 00m 
6/6/2023,Jun-23,OCR ,GCE ,H418/02 ,(Law) ,Law making and the law of tort - Written Paper ,PM ,2h 00m 
6/12/2023,Jun-23,OCR ,GCE ,H418/03 ,(Law) ,The nature of law and Human rights - Written Paper ,AM ,2h 00m 
6/12/2023,Jun-23,OCR ,GCE ,H418/04 ,(Law) ,The nature of law and the law of contract - Written Paper ,AM ,2h 00m 
6/7/2023,Jun-23,OCR ,GCE ,H420/01 ,(Biology A) ,Biological processes - Written Paper ,PM ,2h 15m 
6/16/2023,Jun-23,OCR ,GCE ,H420/02 ,(Biology A) ,Biological diversity - Written Paper ,AM ,2h 15m 
6/21/2023,Jun-23,OCR ,GCE ,H420/03 ,(Biology A) ,Unified biology - Written Paper ,AM ,1h 30m 
6/7/2023,Jun-23,OCR ,GCE ,H422/01 ,(Biology B (Advancing Biology)) ,Fundamentals of biology - Written Paper ,PM ,2h 15m 
6/16/2023,Jun-23,OCR ,GCE ,H422/02 ,(Biology B (Advancing Biology)) ,Scientific literacy in biology - Written Paper ,AM ,2h 15m 
6/21/2023,Jun-23,OCR ,GCE ,H422/03 ,(Biology B (Advancing Biology)) ,Practical skills in biology - Written Paper ,AM ,1h 30m 
5/23/2023,Jun-23,OCR ,GCE ,H431/01 ,(Business) ,Operating in a local business environment - Written Paper ,AM ,2h 00m 
6/7/2023,Jun-23,OCR ,GCE ,H431/02 ,(Business) ,The UK business environment ,AM ,2h 00m 
6/14/2023,Jun-23,OCR ,GCE ,H431/03 ,(Business) ,The global business environment ,AM ,2h 00m 
6/12/2023,Jun-23,OCR ,GCE ,H432/01 ,(Chemistry A) ,"Periodic table, elements and physical chemistry - Written Paper ",AM ,2h 15m 
6/19/2023,Jun-23,OCR ,GCE ,H432/02 ,(Chemistry A) ,Synthesis and analytical techniques - Written Paper ,PM ,2h 15m 
6/23/2023,Jun-23,OCR ,GCE ,H432/03 ,(Chemistry A) ,Unified chemistry - Written Paper ,AM ,1h 30m 
6/12/2023,Jun-23,OCR ,GCE ,H433/01 ,(Chemistry B (Salters)) ,Fundamentals of chemistry - Written Paper ,AM ,2h 15m 
6/19/2023,Jun-23,OCR ,GCE ,H433/02 ,(Chemistry B (Salters)) ,Scientific literacy in chemistry - Written Paper ,PM ,2h 15m 
6/23/2023,Jun-23,OCR ,GCE ,H433/03 ,(Chemistry B (Salters)) ,Practical skills in chemistry - Written Paper ,AM ,1h 30m 
5/22/2023,Jun-23,OCR ,GCE ,H443/01 ,(Latin) ,Unseen Translation - Written Paper ,PM ,1h 45m 
6/5/2023,Jun-23,OCR ,GCE ,H443/02 ,(Latin) ,Prose Composition or Comprehension - Written Paper ,AM ,1h 15m 
